FRAME_NUMBER,TIME_FPS,TIME_PROCESS,TIME_PHYSICS_PROCESS,MEMORY_STATIC,MEMORY_DYNAMIC,MEMORY_STATIC_MAX,MEMORY_DYNAMIC_MAX,MEMORY_MESSAGE_BUFFER_MAX,OBJECT_COUNT,OBJECT_RESOURCE_COUNT,OBJECT_NODE_COUNT,OBJECT_ORPHAN_NODE_COUNT,RENDER_OBJECTS_IN_FRAME,RENDER_VERTICES_IN_FRAME,RENDER_MATERIAL_CHANGES_IN_FRAME,RENDER_SHADER_CHANGES_IN_FRAME,RENDER_SURFACE_CHANGES_IN_FRAME,RENDER_DRAW_CALLS_IN_FRAME,RENDER_2D_ITEMS_IN_FRAME,RENDER_2D_DRAW_CALLS_IN_FRAME,RENDER_VIDEO_MEM_USED,RENDER_TEXTURE_MEM_USED,RENDER_VERTEX_MEM_USED,RENDER_USAGE_VIDEO_MEM_TOTAL,PHYSICS_2D_ACTIVE_OBJECTS,PHYSICS_2D_COLLISION_PAIRS,PHYSICS_2D_ISLAND_COUNT,PHYSICS_3D_ACTIVE_OBJECTS,PHYSICS_3D_COLLISION_PAIRS,PHYSICS_3D_ISLAND_COUNT,AUDIO_OUTPUT_LATENCY,
94,60,0,0,52746112,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,24,37,11253764,11253764,0,0,9,13327,9,0,0,0,0,
95,60,0,0,52746112,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,24,37,11253764,11253764,0,0,9,13327,9,0,0,0,0,
96,60,0,0,52732600,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,38,11253764,11253764,0,0,9,13322,9,0,0,0,0,
97,60,0,0,52733168,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,38,11253764,11253764,0,0,9,13323,9,0,0,0,0,
98,60,0,0,52727976,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,38,11253764,11253764,0,0,9,13324,9,0,0,0,0,
99,60,0,0,52727264,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,38,11253764,11253764,0,0,9,13323,9,0,0,0,0,
100,60,0,0,52733944,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13324,9,0,0,0,0,
101,60,0,0,52733304,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13324,9,0,0,0,0,
102,60,0,0,52733944,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13324,9,0,0,0,0,
103,60,0,0,52734384,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13325,9,0,0,0,0,
104,60,0,0,52735296,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13325,9,0,0,0,0,
105,60,0,0,52719072,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13323,9,0,0,0,0,
106,60,0,0,52718376,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13322,9,0,0,0,0,
107,60,0,0,52719200,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13323,9,0,0,0,0,
108,60,0,0,52719464,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13322,9,0,0,0,0,
109,60,0,0,52720216,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13324,9,0,0,0,0,
110,60,0,0,52720216,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13324,9,0,0,0,0,
111,60,0,0,52719832,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13324,9,0,0,0,0,
112,60,0,0,52719904,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13323,9,0,0,0,0,
113,60,0,0,52720344,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13324,9,0,0,0,0,
114,60,0,0,52730320,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13325,9,0,0,0,0,
115,60,0,0,52728872,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13322,9,0,0,0,0,
116,60,0,0,52731128,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13326,9,0,0,0,0,
117,60,0,0,52731688,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13327,9,0,0,0,0,
118,60,0,0,52736720,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13325,9,0,0,0,0,
119,60,0,0,52737600,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13327,9,0,0,0,0,
120,60,0,0,52737088,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13327,9,0,0,0,0,
121,60,0,0,52737784,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13328,9,0,0,0,0,
122,60,0,0,52738040,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,25,39,11253764,11253764,0,0,9,13328,9,0,0,0,0,
